Race,"Rich(>16k), Middle(6k-16k), Poor(>6k)https://flowingdata.com/2014/07/02/jobs-charted-by-state-and-salary/",Age,Housing comments
black,middle,30,"Looking for a roommate, someone who is also looking for a place. I don't usually do roommates but I am saving up for a down payment on a house and having all the expenses fall on me would get in the way of my progress. I do not have any kids or pets I work from home so would need a roommate that works from home. Or, that does not keep up a lot of noise I am a fun, down to earth person, very chill and laid back. Great to get along with I stay locked in my room because I work alot (2) jobs, Trust I am not anti social just a workaholic. My location preference is close to Hartsfield Airport. I travel on the weekends. If not, I would be interested living North of Atlanta."
black,middle,23,ISO Looking for apartments in or less than 20 miles away from Atlanta. Less than 900 a month
black,middle,32,Looking for a 1 bedroom apartment in Atlanata Ga to move in by February 12th. Price is negotiable. “Not looking for any roommates at all”. Reasoning being I just enjoy my privacy & peace and quiet. I’m 26 years old & have a 4 years bachelors degree & proof of income as well. I currently live in Atlanta right now as well. Direct message me with any questions or leads.
black,middle,25,"Looking to sublease a 1/1 apartment or home/duplex in Atlanta or surrounding areas, dogs must be allowed and budget is $850."
black,middle,27,"Good morning Atlanta I’m looking for a nice 1 Bed room apartment or Studio for under $950 anyone can help that would be amazing preferably Mid town, downtown or Marietta"
black,middle,25,Looking for a one bedroom outside the Atlanta area Kennesaw/Marietta under $1000
white,middle,45,"Hello Atlanta! My name is Robin and I am a flight attendant for Delta. Transferred to Atlanta from Seattle and need to find a place to live with a move in date of 23Jan2021. The areas I am willing to live are NOT near or south of the airport. Period, no exceptions. Currently looking in Smyrna, The Vikings, Marietta, Sandy Springs, Alpharetta, Roswell (the latter two just because more square footage for price, from places I have seen online). I came across this group and joined; with the of hopes of one of the following; in this order: 1) find someone who wants to be roommates and us find a place together (so we can each make it our home) 2) find someone who is looking for a roommate to share their home with me (not just rent me a bedroom). I need access to a kitchen and common areas & want to be able to have my own stuff mixed in with someone - so their home is my home, too. 3) find a house/townhouse/condo I can afford to rent on my own until I find a roommate 4) if push comes to shove, I will get my own place. It’s just so taxing on me to pay rent and all expenses when I am not home regularly. 5) if only renting a bedroom with access to other areas of a home, but unable to have anything other than my clothing - I need rent to be based on that."
black,middle,35,"Hey I'm looking for a 4 bedroom and 2 bath in the DeKalb county or Fulton county area, please could someone lead me to the right direction, I'm willing to pay up to 1,450"
black,middle,27,"So Looking for one bedroom-2 bedroom nice kitchen in marietta , atlanta or union city max rent 1300 with utilities included . I prefer a loft apartment . Mainly 900-1100. Looking move around feb or march"
black,middle,27,"Hi everyone! My name is Arissa and I’m looking for a roommate for Immediate Move In. (Christmas decorations have been taken down lol) Looking for someone to share a 2 bedroom / 2 bath apartment in Duluth. In one room it will be my boyfriend and I. Both of us are young professionals, he is an engineer and I am an IT Recruiter. We are currently saving for a house and hope to rent out the extra bedroom/ private bathroom. Rent is $675 plus utilities. Common area is completely furnished! Prefer no cigarette smoke in the apartment. Also prefer no pets but open if well trained. Must be clean in the common areas. About the community: “The serene, gated community offers convenience with thoughtful amenities and prestigious location taking the stress out of city life. Relax by one of our two swimming pools or lakeside firepit area, and gather with friends at our indoor/outdoor poolside cabana with RV and grilling area. Merritt at Sugarloaf was also designed with your furry friends in mind. We are proud to announce we do not have a dog weight limit and our community offers many outdoor activities with our expansive green space and lake with walking trail. Our community is located right off of I-85, giving you direct access to Downtown Atlanta. We’re also located within walking distance to the Gwinnett Transit System offering you easy access to your daily commute.”"
white,middle,26,"Hey there! I am looking to rent out two rooms in my spacious 3 bed/ 3 bath home in the Candler-McAfee area. One bedroom has an attached bathroom and small walk-in closet for $600. The other available bedroom is in the private guest wing of the house with a sliding barn door, bathroom, and large walk-in closet for $800. Utilities are included for both. There are two pups already living in the house. Cats are welcome for sure, and other dogs are welcome after we get a good playdate in to make sure they all get along. This is an LGBT friendly household and I'd love to rent out to queer/ queer friendly tenants! Shoot me a message if you or anyone you know is looking for a room. Thanks so much!"
white,middle,23,"I am in search of an apartment for rent preferably in a detached garage or private entrance basement in/around Atlanta! I am open to a number of locations but would like to move in at the end of May or beginning of June, and be able to sign a 5-6 month lease. I am very clean, organized, and courteous, but I come and go frequently and enjoy having my own space to decompress, which is why a separate apartment would be ideal. I have a clean rental history and no pets. My budget is around $900 (with utilities included), but I can provide furnishings, laundry units (as long as there are attachments), etc. if necessary. Feel free to reach out if you have a space for rent that you think may work for me, even if it doesn't perfectly match my needs! I am flexible! Thank you!"
white,middle,25,"Hi! I’m still looking to fill a room in my house in Tucker, GA (like 5 min from Decatur). My old roommate has moved out and I’d like to find a chill but professional female to split the rent with. I work in marketing at an investment firm in Buckhead, mad chill and 420 friendly. It’s a super spacious ranch style house. I have a bunny, but always down for a meet and greet if you’ve got a furry friend too! Message me if you’re interested __"
white,middle,22,"Hey all! My partner and I are looking for a possible sublet from May-July 30th or later. We need to stay under $1200. Would love to stay around old fourth ward, midtown, area-ish. Please let me know if you have anything!"
black,middle,25,"Looking for a female tenant to turn my lease over to a private 1bd/1ba room in the North Druid Hills, Decatur area for $885. Apartment is prefurnished and comes with nightstand, desk, desk chair, dresser, and full size bed. The living room is furnished and shared between roommates. Amenities: Pool, Club house, two gyms, amazon hub Close to Emory Shuttle line. Has in unit washer and dryer. One of the three bedrooms is empty, so if you move in it would just be two people. Rent is $885 and includes wifi and water. Utilities come up to $50-$60 monthly. There is a parking garage if you have a car. Close to a Kroger and Emory's campus."
white,middle,24,"Hi I am looking to sublease one bedroom in a 2 bed 2 bath apartment in Smyrna area starting April. Apartment is very close to Walmart, Target, Indian Store and walking distance from Braves Stadium. Apartment is on the 6th Floor and comes equipped with Washer Dryer. Rent would be around $800 and lease is valid till August. Community offers 24/7 Play Area, Club House, Gym and Swimming Pool. Please pm if you are interested or for more details.. Thanks"
black,middle,36,"Hi,Do anybody know of some private landlords I am in search of a 4 bedroom 2 bath at least $1500 and under"
black,middle,30,"Looking for 1 or 2 bedroom apartment in buckhead, dunwoody, sandy springs area . I’m looking to move in March."
black,middle,25,Hey hello again! I’m looking for a 2 bedroom & hopefully 2 bathroom home to rent. I’m open to 2/1 as well. I currently live in the downtown Atlanta area & would love to find a home Not too far from here. My max is $2000 & If possible I’d want to move March 1st. Please comment or message me if you know of anything available
black,middle,25,"Hello looking for a female roomate to take over my roomates lease before March 1st!! ,in a 2 bed 2bath apartment located off of Thornton road ,so not far from Atlanta .The rent is around 1,200 without utilities and the place is pretty nice and people are chill .I’m looking for someone who is really clean and reliable.I’m pretty much to myself but i make music and love wine nights and movie nights ,as well as working out and enjoying nature .Please dont message me if you know you aren’t clean ,and will want to have bunch of people over,during a pandemic .I will get tested again before you move in and please do the same .Message me if you’re interested"
white,middle,35,"Hello! Looking for someone awesome to rent an apartment or house with in the Roswell/Sandy Springs/Marietta area Move in July, $850/mo, year lease. I work f/t, love to cook, garden, make art, hike with my dogs and do yoga."
white,middle,24,"Looking for someone to take over my lease at Aspen Heights Atlanta from August 2021-July 2022. Located in Summerhill across the street from Center Parc Stadium (former turner field). Apartment is the Frisco G floor plan on Aspen’s website and is located on the second floor. The apartment comes fully furnished, and has every amenity that you can ask for. This includes free WiFi, cable TV, a pool, gym, tanning room, study spaces, and more. Apartment is pet friendly. Parking is free in a residential only parking garage. Georgia State University had bus routes that will pick you up/drop you off at the apartment complex. One block away from the apartment is downtown Summerhill where there is a multitude of restaurants, coffee shops, breweries, and more."
black,middle,33,Looking for a room Preferably private bathroom with everything including looking to pay no more then $600
white,middle,27,"Hey there! I'm looking for a roommate to rent out a bedroom in my 3/3 townhome in Decatur! The community is quiet, gated and has a pool. The living areas are fully furnished, so you'd only have to furnish the bedroom. I do have a mini Australian Shepard who is hit or miss with other dogs. NO cats (he loves to chase them). I'm not in a rush to fill the room. It's more important to find someone that's clean, respectful and has a similar lifestyle. A little about me: I'm 26 years old, moved to Atlanta from Michigan last year, and just bought this house in November! My boyfriend lives with me and while we're super low-key during the week, we do like to have a good time on the weekends. I graduated with my BFA in graphic design and MA in communications and work in nonprofit marketing/communications from home. When it's nice out, I do pottery on the patio, and will occasionally sculpt in the kitchen (I make floral and butt mugs!). My last roommate became one of my very best friends, so I'd love to share my space with someone that I can see myself being friends with! DM me and tell me about yourself if this might be a good fit!"
white,middle,30,Hey people. I’m looking for a room/one bedroom near the Cumberland Mall area. Prefer near the Marta. I can afford 500-700 for now or weekly payments. Prefer a woman roommate but really doesn’t matter. I’m LGBTQ ______friendly. I would do private or share bathroom. looking for something ASAP or for the month of March and so on. Thanks ya
white,middle,34,"PRICE REDUCTION!!!! I have a 2 bedroom, 2 bath, plus den over 1400 sqft place in Buckhead that I am looking for someone to take over my lease March 1st until it ends on 09/30/2021 (can renew if you'd like). The price is $1,850 (originally $2,160) /month. The rent is an official sublease through the leasing office, so you will need to do an application. It's in a gated luxury complex called Phipps Place with a pool, fitness center, business center, central air, washer/dryer in unit, a patio, 2 underground parking spots, and pets allowed. Apartment is right next to Phipps Mall and Lenox Mall, with a Marta a few streets away. There is a Publix and Target right across the street."
white,middle,25,"Looking for a room near Decatur or somewhere close! Open to *wherever* just hoping to find something close to Decatur. I’m looking for 6 month lease or less. $400-$600 is my budget. I have references. 420 friendly. I have two jobs so I spend most of my time working but I would like to have a friendship w/ my roomies!! Anyways, lemme know what you hav"
white,middle,21,Hello I’m looking for a temporary stay ab 3-5 months in Atl for 300-600 a month? Moving from Mississippi to start new job March 29th Would like to move in by March 25 I’m LGBT+ if that matters
black,middle,24,Heyyy! Looking for a female roommate to move-in with around the end of April/beginning of May in the Vinnings area. Message me if you're interested.
black,middle,24,Hi everyone! I’m looking for an 1 bedroom apartment in Atlanta or no more than 30 mins outside of the city (because I work in the city). My budget is $1000 a month and I’m looking for a private landlord or an apartment complex that doesn’t do credit checks. I have no evictions and have plenty of renters history! Thanks I’m advance!!
black,middle,38,Hello I’m still looking for a room in the Alpharetta area mostly near the north point mall. Looking for something between 500-700 I am LGBTQ ______friendly. Looking for something ASAP and can move in now
black,middle,20,i’m in need of a 1 or 2 bedroom apartment/house looking to move in asap willing to sublease as well also looking for a female roommate
black,middle,27,"Hi all! I am Maya and I am looking for a roomate to renew my lease with on Feb 28th. I am a full time graduate student and also own a cat. Just a 5 minute walk to J Christopher’s and Savi Provisions, Dresden Forest is a great location nestled in the heart of Brookhaven. It is located on the main strip with bustling restaurants and bars and a 15 min walk to the Brookhaven/Oglethorpe station. The apartment is located in a quiet community. 2 beds 1 bath, W/D connections (two laundry rooms located on property), dishwasher, and balcony. $1225 per month ($612 per person) with utilities averaging a total of $200 (all together) per month. This apartment is great for a student or a young professional getting settled in Atlanta. The location itself is amazing for the price and the place to be in North Atlanta! Please contact if interested! Ig: devine_soul_ For quicker response"
white,middle,25,"Hello! I have a room available ASAP in Scottdale/North Decatur. One bedroom in a two bedroom, one bathroom house ( the other bedroom is occupied by me and my bf). There is an additional room in the house that you get to use, so basically you get two rooms for yourself for the price of rent. Located right next to i-285 (exit 40 Clarkston/Scottdale), less than 10 minutes from Downtown Decatur, 15 minutes to East Atlanta, L5P, Edgewood. There’s a MARTA bus stop right outside the house. Kroger, Walmart, Whole Foods, Sprouts, LA Fitness and many restaurants within a 5 minute drive. The house is small and cozy, with a large backyard in a safe neighborhood. The house has new floors installed and the rooms are freshly painted."
white,poor,26,I’m about to lose my room I’m currently renting I have until March 1st to find a place that fits my financial need if 500 a month including everything. Because of corona COVID-19 my current housing situation is coming to an end. With my own bathroom and room 500 including everything. I’m a trans female. Mostly rely on government checks for money until restaurants and places get better so we can return to work. I’m a pretty laid back girl who stays to herself and plays world of Warcraft in the room. I currently don’t have a car so I want to live near a train station or bus to get to point A to B. If anyone knows of any rooms available let me know
white,middle,25,25 year old male looking to move in ASAP! I am pretty open when it comes to a roommate. Please message me if you have a room preferably with a private bath between 600-900 a month!
black,middle,25,"420 FRIENDLY __Looking for a 1 bedroom, 1 bath - or a studio. Open to roommates but must have a good vibe ____ Areas: College Park, Riverdale, Atlanta, Morrow, Campcreek, Cobb, Fairburn I’m working on my associates degree in Business Management Services ______________and I’m also a girl that works over night so sleep is needed in the day time__ Very chill, & laid back. Very outgoing and have a great sense of humor. Also, a neat freak - and hate clutter. EVERYTHING MUST HAVE A PLACE ____. But no forreal, looking for around September. If intrested or have any ideas, don’t hesitate to contact me."
white,middle,25,Hi everyone! I’m looking to sublet my apartment at MAA Gardens on Lenox Park Blvd. One bedroom/one bathroom. Message me for details!
white,middle,22,"Hey everyone! I’m looking for roommates to join in finding a place this spring/summer. I’m in my late 20s, work at the CDC, very clean, love to be social and go rock climbing, and play music. I’m looking in midtown/Virginia highlands and my budget is around $600-$900."
black,middle,24,Hey I’m looking for either a room to rent with private bathroom or a one bed room apartment or a roommate ...I’m 24 years old I work in union city and go to school I’m currently keeping my little sister she’s 6 and have our own transportation I just need a place in the forest park or union city area I can afford anything $900 and lower please HMU
black,middle,25,Looking for room for rent in union city area.
black,middle,22,Looking for a one bedroom condo/apartment in Midtown and surrounding neighborhoods! Max on rent is $1600. MUST BE PET FRIENDLY! Gas stove and balcony would be lovely! Message ASAP!
black,middle,24,"Moving to Atlanta January 2021, have a job lined up already just need a place to stay... not sure what area I would like to stay in but my budget is $700-$900"
black,middle,25,Looking for any apartment complexes that may allow 3 dogs on the premises in the state of GA? Currently coming from PA so just looking for rent to be under 1200
white,middle,33,"so ok my name is amanda as you can see and i’m 32. i either need to sublet a spot starting in april or i need to find a 2 bed 2 bath for me and a roomate and tbh i have a little cat too! but she is the best for real. so cute, so quiet, so little. SHE NEEDS A FRIEND. it’s crazy important to me. whether you have a dog or cat or just wanna get one let’s talk cause franny is feeling alone. it’s so sad to see. franny is the cat. i’m v tidy but also v laid back and v friendly. my personal budget is probably up to $850 w utilities included but spending even less than that would be so tight. i wanna stay v ITP of course. hmu w whatever options you can throw my way EXCEPT YOU FILTHY SCAMMERS !!! y’all quit."
white,middle,35,"Hi. I'm looking for a one bedroom apartment or roommate living situation (1 or 2 roommates max) with a private bath preferred. Would be moving between mid-March and April 1 at the latest for a 6-month to one-year lease. Interested in Va-Hi, Poncey-Highland, Grant Park, EAV, Decatur, Inman Park and nearby areas. Would prefer an apartment in a house over a large apartment complex. I am a Georgia native, moving back to ATL from a couple of years in NYC. About me: I am an actor and hobby photographer. I do not have pets, but love animals, so its cool if you have a pet. Im a non-smoker and would prefer a non-smoker roommate. I practice masking and social distancing. I'm hoping to stay under $900 including utilities if possible. Let me know if you have something similar available. PS- I created this FB account to find an apartment so there isn't much about me here. I have an IG account if you are interested in social media. message me."
white,middle,25,"Hello! Looking for a studio, in law suite or 1b/1b, preferably furnished, starting at the end of March. I am happy to sublet/rent/potentially take over a lease depending on the details, but preferred a month to month agreement. Budget up to $1200 per month preferably less. Ideally, Chamblee, Dunwoody, North Brookhaven, but really open to any area. I have no pets, I am very quiet and mostly study and work. Please let me know"
white,middle,32,"Looking for a place to move in around May 20th. My significant other and our 2 dogs. Would prefer a house with a yard under $1000. Would be willing to live with the right roommate. I know this is early, but I like to plan ahead. Within 30 minutes of Hugh Howell Rd in Stone Mountain. I work at Publix full time and with Doodle Pants part time. He works at UPS overnight. We’re pretty quiet. 420 friendly. Our dogs are good with other __and __."
white,middle,49,"My tenant is moving out end of the month. Large room with extra large walk-in closet in a ground level 2 bedroom/1 bath apartment. Owners live on the top floor. You will share the apartment with a mid 20s professional female who is also going to school for her MBA. She is quiet, intelligent, respectful and loves to cook. She has no pets but loves cats. The apartment is located near the Briarcliff Rd and Clairmont Rd intersection or Briarcliff Rd and North Druid Hills Rd. Easy access to I-85, and a lot of daily conveniences such as gas stations, Target, restaurants galore, LIDL and a lot more. Perfect for Emory students or young professionals working at CHOA or surrounding areas. This is a quiet neighborhood where neighbors look out for each other."
black,middle,31,"Roommate wanted for an artsy FULLY FURNISHED 2 bedroom/ shared bathroom East Atlanta Village Apartment in a quiet, gated community. Conveniently located 5 minutes from I20, & I285. 10 minutes from Edgewood & Lil 5 points. 7 minutes to EAV bars. Minutes away from Kroger, family dollar, dollar tree & Aldi’s. Bedroom has its own closet space. Free Parking. Laundry on site. Shared spaces include kitchen, living room, bathroom with 1 tenant. Rent is inclusive of utilities and totals out to be $750/Month. $300 deposit required. No pets, or children. 1 guest per room. Looking for tenancy of 3-6 months. PM if seriously interested. Room available for FEBRUARY 1ST. WOMEN ONLY!"
white,middle,27,"Hi all! I’m a law student graduating in a few months and moving to Atlanta in late May. I’m looking to rent a 1- or 2-bedroom place (just me, no roommates or pets). No preference on apartment/condo/house but would love something with a porch, patio, or outdoor space. Budget $1800 or below, ideally in the Virginia Highlands, Old Fourth Ward, Inman Park, Little Five Points, Candler Park, or Collier Hills neighborhoods. If anyone has anything available or knows of anything, I’d be most appreciative! Thank you!"
black,middle,24,"Hi everyone! My sister  Zaynah Bear and I are 20-something recent grads seeking a place to lease starting at the end of May or the beginning of June. Ideally, we’d like to live with just each other. However, a third roommate is not off the table. Details below. All recommendations are welcome! Budget/Requirements: - 2 br/ 1+ ba $1,000- $1,500 (collectively; utilities included) In-unit laundry + furnished unit preferred but not required Grant Park, Virginia Highland, Poncey-Highland, Old Fourth Ward, Reynoldstown, or other areas no more than 10-15 mins from downtown ATL (Located walking distance from grocery, restaurants, bars, parks, etc. preferred) Potential Roommate Requirements (if we find a 3 br. for the right price. Can extend price range to about $2200 collectively, utilities included): Females only (20s/30s) No pets Emphasizes cleanliness!!"
white,middle,33,"My boyfriend, our 6 year old son, and I are relocating from Pennsylvania. We need to find a place by April 1st. He has a job secured and I am currently looking/applying. Budget of no more than $900. Preferably a 3 bedroom. We can pay 2 months rent plus security deposit. Any recommendations or help would be greatly appreciated. Thank you in advance"
white,middle,25,I am looking to relocate to the Atlanta area. I was interested in collage park or any surrounding areas. Looking for a 3bd 2 bath preferably. Budget would be no more than 2000. Any recommendations would be appreciated! Thanks in advance!!
black,middle,25,"Looking for a chill, cool and clean roomie! •Available 4/1 •Female Only •800 + utilities •Security & First as Deposit •3 month lease •Parking on site •Private Bathroom •W/D on site •Central AC/heat •1 mile from MARTA, Kroger & Walmart •8 mins from the ATL airport •3 mins from 166 •4 mins from 75/85 N & S •Quiet neighborhood"
white,middle,40,anyone need a roomate i really need to find a room to rent budget is 5-600 looking in grant park candler park little 5 innman park kirkwood eav druid hills va hi poncey highlands please guys help me out i dont wanna ha e to go back to the burbs
black,middle,25,currently located in Duluth and looking for a rent to own property. Preferably 3-4 bedrooms located no further than 30 min from downtown Atlanta. Please help
white,middle,24,"Hello! Looking for a studio or 1b/1b, preferably furnished, starting at the end of May. Happy to sublet/rent/potentially take over a lease depending on the details. Budget up to $1200/mo. Currently living in Kirkwood, open to anywhere nearby Decatur/Kirkwood/East Atlanta Area. I'm 23, software developer who works from home, clean, and I have a cute little hamster who doesn't cause any trouble"
white,middle,30,Hi all! I am relocating from Maryland to Chamblee Georgia. I have 2 cats and a sister who would be moving with me so I am looking for a 2 bedroom apartment. I am not sure of the exact move date yet because I'm waiting to hear from my new employer for that but most likely it would be around March 19. I would prefer a place that costs $700-$1000. Any help would be greatly appreciated!
black,middle,30,Hello! I am looking for a three bedroom house with a finished basement or 4 bedroom home within 30 minutes from the city (pretty open with the area). No more then $1750 a month. Move in would be next weekend! No pets. Thanks in advance!
black,middle,25,"Hey!! ____I’m Angellica and I’m looking for a room for Bentley and I. About Bentley: • He’s 3 years old and a Yorkie/Shitzu mix. • He is super friendly towards other dogs and people. • He isn’t a free roaming dog right now (when we leave my room he’s always on a leash lol) and can be crated when I’m not home. • He is surprisingly quiet lol. About me: • I work for an elementary school as an assistant teacher in Atlanta. • My hobbies are making rugs, rollerskating, photography, movies, traveling and hiking. • I’m a natural homebody and am super quiet. I’m always conscious of keeping shared spaces clean, because if I don’t I feel guilty lmao. Overall I’m just very considerate of others. I’m looking to pay anything from $600-700. I don’t have a set date that I want to move, so I’m super flexible! I’d love to room with mainly girls, but will be open to the idea of guys too. "
white,middle,35,"I’m looking for a place with roommates or roommates to find a house with. I am also open to living in an insulated shed/garage space that is separate from the house if anyone has a space they’d like to use to make a little extra cash. I’m a 30 year old woman, recently graduated with a Master’s of Occupational Therapy. I would define myself mostly as an artist who loves to write and dance but also committed to serving others. I am active outdoors with trail running, hiking and often take meditative walks. I am a community oriented person looking for a group of people to help each other thrive. I love my alone time too and find it helps me feel rejuvenated. I have a young dog, a Border Collie/Australian Shepherd mix who is a part of the package. A place with a fenced in backyard is ideal although not a deal breaker. I like to keep common spaces tidy but not anal about it. I have many plants that come with the package too that I believe make a home feel homier - they can stay in my room or be used around the house. My ideal move in date would be sometime in April or May, $700/month or less, in East Atlanta Village, Reynoldstown, or West End, East Point, or College Park. Let me know if you are interested or have a lead. Thanks so much!"
black,middle,25,My husband and I are looking to relocate to Atlanta in June. Looking for 2 bed 2 bath preferably. Budget is no more than $1300. Open to living within 30 mins from the city. Any recommendations will help. Thank you!!
white,middle,27,"Hello my beautiful friends I am In need of some assistance, I am looking for a short term lease. If anyone knows of one in Midtown ATL from this month(March) until middle or late May please message me. I’m going to South America in May to end of July but will be traveling during the month of September. So I will need to find a place in town close to my job until I leave. I work at a yoga studio in midtown but am going to south America for a couple Yoga retreats. I am planning on taking my dog with me so if we wanted to continue the lease while I’m gone and rent out my room while I’m away that wouldn’t be a problem either. Furnished rooms are a plus since I am okay with not taking my things out of storage but unfurnished is okay too. *The only special requirement is that I have a 8year old female King Charles cavalier who is non energetic and only wants to sleep. She is housebroken and it the best. So anywhere who allows pets would be great! **Would be available to continue lease once I get back if we get along! Thank you guys so much!!"
white,middle,29,Hey y’all. I’m looking for a basement apartment to move in to by the end of April. I can afford up to $750 a month. I have one cat and am an artist. I’m also looking for smaller houses that have a similar rent (both hard to find I know). I’m ideally trying to live by myself. If anyone has any listings/leads please let me know! Thanks!
black,middle,29,"Hello everyone, I am moving out of my home in Grant Park and I am looking to fill my vacant bedroom. Currently I am still within my 60 days so I’ll be paying the last part of February and all of March. All you would pay is the Deposit $395. I don’t currently have pictures of my room but touring is always welcome. There is a roommate still there. He’s super nice with a feisty Chihuahua. Rent is $495 and utilities usually run $60-$100. Please message if interested."
black,middle,25,"Hello, I am relocating back to Atlanta (finally) and we are looking for a single family home. Any recommendations on a 3bd/2+ bath, $1700 or below would be much appreciated. Interested in East Atlanta, Decatur, Inman Park, Grant Park, Defoors Ferry or surrounding areas. Safe areas, I have a baby __. Thanks in advance everyone!"
white,middle,27,"Looking for someone to take over my lease in a 2b/1br. Would prefer to move out Mid-Late May, but I can possibly make April work if you need to be in there sooner. Rent fluctuates from mid $600s-mid $700s depending utilities. Apartment is located in the Kirkwood area within walking distance of several parks, a few restaurants, a nice coffee shop, and a library. Bus stop right outside the front door. Laundry in unit. Roommate is a grad student, very chill and quiet and has a sweet, beautiful all-white German Shepherd who is great with other dogs and people (no cats, unfortunately). For dog owners: there are no breed or weight restrictions for the complex and pet rent is only $25/per (included in my estimate of rent as we currently both have dogs) no additional fee. Must be LGBT Friendly. Here's a few pictures of the room, message me if you'd like more pictures from different angles/ of the apartment in general. In addition, I'm potentially willing to leave some furniture behind for free if you should want it."
white,middle,25,"Hello! My incredible roommate has accepted a job out of state and I am looking for someone to take over her spot in our 2 bed/ 1 bath Kirkwood apartment. The lease would start May 1 and rent is $710/ mo plus power and internet. Water is covered in the rent... The apartment gets so much natural light and I keep indoor plants, so it has kind of a lush feel to it.  The best thing about this place, IMHO is the community farm just steps off of our covered patio! We get produce and eggs from the farm at no extra charge! There is a fire pit and a bunch of spots to just hang out and chill on the farm as well. Fun facts about me... I am a graphic designer, plant enthusiast, and Brazilian jiu-jitsu purple belt. I am working from home at the moment and I have 2 sweet, sweet kitties, Margo and Eleanor who always want pets and love. We are allowed 3 pets total in the apartment, so we technically have room for 1 more. Cats preferred bc energetic dogs kind of freak my cats out. Edit: My cats are indoor-outdoor and they use a cat door to get in and out. Please keep in mind if you have a kitty too! Looking to confirm with the complex ASAP!"
white,middle,25,"Hi everyone! I’m looking for 2-3 roommates that don’t mind sharing a bathroom space. I’m open to both male and female roommates, & am LGBTQ+ friendly! This house is in an unbeatable location. The bedrooms are big so you could have room for a vanity if you don’t want to get ready in the bathroom. This is a 4 bedroom two bathroom home that I’m planning on leasing starting April 1st. It’s two blocks from the east side beltline in reynoldstown/cabbagetown area. Rent will determine on how many people decide to rent. I’ll split it up equally. No more than $900/month. I can send a walkthrough video or more photos if you private message me:) This is a very safe area with low crime. And the house looks cuter in a better photo! Lol. I’m looking for people that are friendly, I tend to be fairly relaxed with most things. Unfortunately, no cats though due to allergy."
white,middle,25,"Hey y'all! If anyone is looking for a room in an apartment, a five minute drive from East Atlanta Village, I've got just the spot for you! I'm moving out of my apartment, and my roommate and their partner need someone to take over my part of the lease! It's a three bedroom apartment in a gated complex and rent is typically $490 a person, with power and internet being an additional $60. I am already paying for both March and April's rent even though I will already be moved out by March, meaning if you decide to move in, there is the potential for up to two free months of rent! The lease here will be up September 30th, so from March 1st until then will be 7 months remaining on the lease. If anyone is interested, please DM me! I can also provide pictures if need be "
white,middle,34,"I have a 2 bed 2 bath plus den apartment that I am trying to sublease. It is in luxury complex called Phipps Place in Buckhead (pool, fitness center, W/D in unit, and more). Originally it was $2,160 now down to $1850!! I am willing to negotiate on price, but you will have to do the application process through the leasing office. We are moved out so you can move in ASAP and the lease is through 9/30. Please DM if you're interested!! Very motivated to get someone in."
white,middle,30,"Amazing location in North Decatur! Across the street from Sprouts, Walmart, and Whole Foods 3 Br 2 Ba in gated community. One master with private bath and one room shared bath with me. Complex has pool and tennis courts on-site, off-street parking avail with w/d in unit. Central heat and a/c, dishwasher and wifi. Rooms come partially furnished with bed, mattress and desk. Looking to rent the shared bath for 675 and the master for 775. Applicants should have good credit, prior landlord references and 1 month additional for security deposit."
white,middle,29,"Hello everyone, I am looking for either one new roommate or possibly multiple new roommates depending on the situation. My lease ends on April 27, and I’m currently living in an apartment home in Marietta. I’m willing to resign for this location to save money, or I’m willing to move to a different location depending on the area. I’m open to all different scenarios and I’m very flexible. I made my ad based off of hoping that a woman would want to move into my apartment, but please keep in mind that I’m willing to move into your existing home, or we can find a new place together.__"
white,middle,23,"Hi all! My name is Timo (he/him) and I’m looking for up to a 12-month lease with 1-2 roommates. I've lived in the EAV area for almost a year and have loved it, but I'm flexible on location. My budget is $1k/mo with utilities included. I'm an ally, and I currently live with 5 women as roommates, so you can expect me to understand and respect boundaries. You can depend on me if you need a ride, someone to vent to, or just someone to be there as a friend! Oh, and I don't have any pets. A little about me: I’m half Canadian and half Puerto Rican, and I speak both Spanish and English. I was raised Hispanic, so you can count on me being clean (iykyk). I enjoy quality time with my friends, but quiet time is also very important to me. I’m currently a senior at Georgia State studying Public Health and Computer Informations Systems. I'm also a public health consultant for GHC3 and an EHR specialist for a pediatric office. I’m an F1 and soccer nut, but I’m also big into music production and audio engineering. I play drums, guitar, keys, bass… you name it. I freelance and have produced songs for bands here and there around ATL as well as my own stuff from time-to-time. I’m always down to listen to/create some tunes! Don't worry about the noise, I almost always use headphones as I prefer them to speakers."
